year,mo,dy, hr, Pmean, Pstdv,  n
2016,09,16, 14, 2.465, 0.460, 12
2016,09,16, 15, 1.622, 0.713, 12
2016,09,16, 16, 0.514, 0.262, 12
2016,09,16, 17, 0.443, 0.284, 12
2016,09,16, 18, 0.416, 0.203, 12
2016,09,16, 19, 0.048, 0.038,  4
2016,09,17, 07, 0.034, 0.019,  6
2016,09,17, 08, 0.214, 0.113, 12
2016,09,17, 09, 0.805, 0.237, 12
2016,09,17, 10, 1.687, 0.796, 12
2016,09,17, 11, 2.191, 0.407, 12
2016,09,17, 12, 0.950, 0.170, 12
2016,09,17, 13, 0.887, 0.356, 12
2016,09,17, 14, 0.342, 0.058, 12
2016,09,17, 15, 0.311, 0.053, 12
2016,09,17, 16, 0.139, 0.020, 12
2016,09,17, 17, 0.167, 0.034, 12
2016,09,17, 18, 0.074, 0.040, 12
2016,09,18, 07, 0.040, 0.015,  6
2016,09,18, 08, 0.157, 0.108, 12
2016,09,18, 09, 0.308, 0.122, 12
2016,09,18, 10, 0.353, 0.145, 12
2016,09,18, 11, 0.398, 0.032, 12
2016,09,18, 12, 0.816, 0.373, 12
2016,09,18, 13, 0.838, 0.414, 12
2016,09,18, 14, 0.981, 0.210, 12
2016,09,18, 15, 1.045, 0.376, 12
2016,09,18, 16, 0.358, 0.240, 12
2016,09,18, 17, 0.485, 0.211, 12
2016,09,18, 18, 0.222, 0.155, 12
2016,09,18, 19, 0.012, 0.000,  2
2016,09,19, 07, 0.164, 0.117,  9
2016,09,19, 08, 0.792, 0.259, 12
2016,09,19, 09, 1.448, 0.189, 12
2016,09,19, 10, 1.790, 0.432, 12
2016,09,19, 11, 2.433, 0.304, 12
2016,09,19, 12, 2.331, 0.319, 12
2016,09,19, 13, 1.758, 0.632, 12
2016,09,19, 14, 1.039, 0.269, 12
2016,09,19, 15, 0.634, 0.594, 12
2016,09,19, 16, 0.484, 0.151, 12
2016,09,19, 17, 0.230, 0.069, 12
2016,09,19, 18, 0.069, 0.044, 12
2016,09,20, 07, 0.030, 0.014,  8
2016,09,20, 08, 0.356, 0.263, 12
2016,09,20, 09, 1.172, 0.268, 12
2016,09,20, 10, 1.033, 0.269, 12
2016,09,20, 11, 2.082, 0.400, 12
2016,09,20, 12, 2.093, 0.749, 12
2016,09,20, 13, 1.244, 0.291, 12
